Taulukko 1
Toimiala;Liikevaihto;Muuttuvat kulut;Kiinteät kulut;Oma pääoma;Vieraspääoma;Pysyvät vastaavat ;Vaihtuvat vastaavat;YritysID;
Palveluala;600 000;100 000;80 000;50 000;50 000;90 000;30 000;1;
Tuotantoyritys;500 000;80 000;40 000;20 000;30 000;20 000;20 000;2;
Tuotantoyritys;300 000;70 000;30 000;60 000;20 000;50 000;10 000;3;
Verkkokauppa;400 000;60 000;40 000;50 000;60 000;40 000;30 000;4;
Verkkokauppa;500 000;50 000;50 000;40 000;40 000;20 000;10 000;5;
Palveluala;400 000;30 000;50 000;30 000;20 000;50 000;40 000;6;
Verkkokauppa;200 000;60 000;70 000;90 000;40 000;10 000;20 000;7;
Verkkokauppa;600 000;50 000;40 000;50 000;50 000;20 000;30 000;8;
Verkkokauppa;300 000;60 000;50 000;40 000;50 000;50 000;20 000;9;
Tuotantoyritys;500 000;1000;60 000;70 000;20 000;40 000;10 000;10;
Palveluala;700 000;90 000;120 000;40 000;40 000;60 000;30 000;11;
Tuotantoyritys;900 000;40 000;120 000;60 000;30 000;40 000;20 000;12;
Verkkokauppa;500 000;40 000;90 000;50 000;40 000;60 000;30 000;13;
Palveluala;700 000;120 000;200 000;30 000;70 000;40 000;40 000;14;
Tuotantoyritys;400 000;70 000;70 000;50 000;50 000;30 000;30 000;15;
Palveluala;200 000;50 000;30 000;10 000;40 000;20 000;20 000;16;
Palveluala;500 000;70 000;30 000;50 000;20 000;10 000;10 000;17;
Tuotantoyritys;600 000;60 000;90 000;80 000;30 000;30 000;20 000;18;
Tuotantoyritys;400 000;50 000;70 000;50 000;50 000;40 000;10 000;19;
Palveluala;150 000;40 000;100 000;20 000;60 000;30 000;20 000;20;
